Fecha & Hora;O3;Temperatura;Humedad;RadiacionSolar
01/01/2019 01:00;5,92472449;26,2;63,7;0
01/01/2019 02:00;6,670219624;25,7;65,8;0
01/01/2019 03:00;4,414115928;24,7;69,1;0
01/01/2019 04:00;3,825567138;23,8;71;0
01/01/2019 05:00;3,962895189;22,8;71,9;0
01/01/2019 06:00;3,335109812;22,6;70;0
01/01/2019 07:00;3,943276896;22,5;69,1;44
01/01/2019 08:00;10,02494773;24;60,9;216,2
01/01/2019 09:00;22,42370891;27,6;51,2;436,5
01/01/2019 10:00;50,98794354;30,3;44;623,5
01/01/2019 11:00;72,62692073;32,2;38,9;772,8
01/01/2019 12:00;89,69483566;34,2;33,1;856,8
01/01/2019 13:00;96,91436748;36;29,4;863,1
01/01/2019 14:00;100,56337;37,4;26,4;798,4
01/01/2019 15:00;87,20331244;38,3;22,4;673,7
01/01/2019 16:00;70,60623655;38,5;21,1;455
01/01/2019 17:00;66,34906697;37,7;25;273,9
01/01/2019 18:00;56,36335583;34,7;34,1;58
01/01/2019 19:00;31,66392492;32,4;39,2;0
01/01/2019 20:00;12,49685265;30,4;46,3;0
01/01/2019 21:00;10,77044286;28,4;55,7;0
01/01/2019 22:00;8,573194047;27,8;58;0
01/01/2019 23:00;8,671285512;26,8;61;0
01/01/2019 24:00;10,31922212;26,6;61,6;0
02/01/2019 01:00;12,43799777;26;64,1;0
02/01/2019 02:00;13,10501973;25,4;66,2;0
02/01/2019 03:00;8,1415916;24,6;68,4;0
02/01/2019 04:00;6,630983038;23,3;68,6;0
02/01/2019 05:00;6,70945621;22,8;66,8;0
02/01/2019 06:00;3,629384207;22,6;66,6;0
02/01/2019 07:00;3,688239086;23,2;65;45,6
02/01/2019 08:00;9,024414786;25,4;57,5;220,4
02/01/2019 09:00;23,34576869;27,7;52,5;443,1
02/01/2019 10:00;46,63268249;30,4;46,2;636
02/01/2019 11:00;56,04946314;32,5;39;779
02/01/2019 12:00;69,21333775;34,2;33,8;859,1
02/01/2019 13:00;80,70965746;35,8;30;869,5
02/01/2019 14:00;116,5915154;36,3;28,5;798,1
02/01/2019 15:00;123,3402082;36,8;27,7;667,5
02/01/2019 16:00;96,75742114;36,9;28,4;462,3
02/01/2019 17:00;60,69899858;35,9;32;260,6
02/01/2019 18:00;40,53139337;33,9;35,6;56,4
02/01/2019 19:00;16,06738198;32,1;39,5;0
02/01/2019 20:00;9,554108697;30,7;44,5;0
02/01/2019 21:00;6,787929383;28,7;52,9;0
02/01/2019 22:00;6,572128159;28,7;52,8;0
02/01/2019 23:00;7,042967192;27,3;59,3;0
02/01/2019 24:00;8,573194047;26,5;62,5;0
03/01/2019 01:00;9,711055042;26,3;63,2;0
03/01/2019 02:00;10,29960383;26,2;63,8;0
03/01/2019 03:00;11,08433555;25,5;65;0
03/01/2019 04:00;8,612430633;24,7;65,3;0
03/01/2019 05:00;3,550911035;23,7;70,8;0
03/01/2019 06:00;2,923125659;23,1;70,8;0
03/01/2019 07:00;3,6490025;22,7;68,2;40,2
03/01/2019 08:00;8,612430633;25,4;59,4;208,6
03/01/2019 09:00;22,48256379;27,8;53,5;429,3
03/01/2019 10:00;47,12313982;30,4;46,1;618,3
03/01/2019 11:00;67,48692797;32,4;40,2;764,6
03/01/2019 12:00;79,82683427;34,3;35,1;856
03/01/2019 13:00;93,69696743;35,1;31,9;860,7
03/01/2019 14:00;91,10735275;36;28,8;798,7
03/01/2019 15:00;81,76904528;36,3;26,5;477,5
03/01/2019 16:00;82,2791209;36,4;25,9;354,7
03/01/2019 17:00;76,02088543;35,9;30;227
03/01/2019 18:00;56,73610339;33,7;36;50,1
03/01/2019 19:00;34,46934082;31,9;39,8;0
03/01/2019 20:00;25,64110897;31;42;0
03/01/2019 21:00;14,65486488;29;50,4;0
03/01/2019 22:00;7,533424517;27,7;56,3;0
03/01/2019 23:00;9,220597716;27,5;57,4;0
03/01/2019 24:00;12,32028801;26,5;62;0
04/01/2019 01:00;15,26303196;26,7;60,8;0
04/01/2019 02:00;16,81287711;26,9;60;0
04/01/2019 03:00;15,38074172;26,4;61,5;0
04/01/2019 04:00;11,77097581;25,7;64;0
04/01/2019 05:00;6,434800108;25,6;64,3;0
04/01/2019 06:00;4,10022324;25;67,7;0
04/01/2019 07:00;5,826633025;25,1;67,5;34,2
04/01/2019 08:00;11,7905941;26,8;60;185,1
04/01/2019 09:00;29,30972976;29,1;51,2;412,1
04/01/2019 10:00;43,70955683;31,3;44,6;606,8
04/01/2019 11:00;67,34959991;32,8;40,1;757,1
04/01/2019 12:00;76,70752568;34,5;36,4;840,9
04/01/2019 13:00;87,0463661;34,9;34,8;853,4
04/01/2019 14:00;87,6152966;36,4;31,4;791,9
04/01/2019 15:00;94,16780646;36,9;29,7;659,2
04/01/2019 16:00;80,55271111;37,4;26,9;486,1
04/01/2019 17:00;81,94560992;37,1;26,3;271,3
04/01/2019 18:00;63,4455596;35,1;34,8;82,3
04/01/2019 19:00;32,27209201;32,4;41,3;0
04/01/2019 20:00;28,58385292;31,3;44,5;0
04/01/2019 21:00;12,86960022;29,2;53,9;0
04/01/2019 22:00;11,26090019;28,7;55,9;0
04/01/2019 23:00;9,514872111;28,8;55,5;0
04/01/2019 24:00;8,357392824;27,8;59,4;0
05/01/2019 01:00;10,31922212;26,8;63,2;0
05/01/2019 02:00;8,377011117;26,3;65,3;0
05/01/2019 03:00;6,31709035;26,4;65,5;0
05/01/2019 04:00;4,845718374;25;70,5;0
05/01/2019 05:00;5,120374476;25;68,2;0
05/01/2019 06:00;5,650068388;24,3;71,1;0
05/01/2019 07:00;5,08113789;24,4;71,5;47,9
05/01/2019 08:00;7,651134275;26,1;64,3;194,8
05/01/2019 09:00;24,81714066;29,3;53;416,5
05/01/2019 10:00;52,28275088;31,4;45,1;604,2
05/01/2019 11:00;69,17410116;33;41,8;748,9
05/01/2019 12:00;76,45248787;34,8;36,9;817,8
05/01/2019 13:00;100,5829883;35,9;34,4;839,3
05/01/2019 14:00;114,2961751;37;31,2;785,7
05/01/2019 15:00;114,7473958;37,3;29,1;591,8
05/01/2019 16:00;90,91116982;36,1;32,2;273,5
05/01/2019 17:00;46,45611786;35;34,3;181,5
05/01/2019 18:00;28,46614316;33,4;38,1;71,1
05/01/2019 19:00;15,94967222;32,4;40,5;20,8
05/01/2019 20:00;8,200446479;31,1;46,3;0
05/01/2019 21:00;10,18189407;29,8;51,3;0
05/01/2019 22:00;8,514339168;28,4;57;0
05/01/2019 23:00;6,729074504;27,7;59,5;0
05/01/2019 24:00;6,277853764;27,4;61,2;0
06/01/2019 01:00;7,101822071;26,5;64,4;0
06/01/2019 02:00;6,474036694;26,6;64,2;0
06/01/2019 03:00;8,337774531;27;62,4;0
06/01/2019 04:00;11,20204531;26,9;61,4;0
06/01/2019 05:00;8,671285512;26,3;64,4;0
06/01/2019 06:00;6,31709035;25,9;66,5;0
06/01/2019 07:00;5,395030579;25,8;67,1;38,2
06/01/2019 08:00;6,630983038;26,4;65,4;77,1
06/01/2019 09:00;7,239150122;26,7;64,1;131,6
06/01/2019 10:00;15,30226855;28,4;56,5;293,1
06/01/2019 11:00;36,68620793;31,1;47,4;573,6
06/01/2019 12:00;72,60730244;33;42;659
06/01/2019 13:00;80,35652818;34,8;36,7;835,4
06/01/2019 14:00;76,02088543;35,7;32,9;721,6
06/01/2019 15:00;64,0144901;35;33,9;425,1
06/01/2019 16:00;52,67511674;33,8;35,9;362,5
06/01/2019 17:00;41,74772753;32,5;37,9;171,4
06/01/2019 18:00;29,74133221;31,8;37,8;57,4
06/01/2019 19:00;13,53662218;30,7;43,1;0
06/01/2019 20:00;10,08380261;29,3;48,4;0
06/01/2019 21:00;14,30173561;28,5;54,4;0
06/01/2019 22:00;18,02921128;27,8;58,6;0
06/01/2019 23:00;20,55997108;27,3;59;0
06/01/2019 24:00;11,18242702;26,2;63,9;0
07/01/2019 01:00;10,80967945;25,7;66,2;0
07/01/2019 02:00;14,65486488;26;66,6;0
07/01/2019 03:00;11,84944898;25,8;68,4;0
07/01/2019 04:00;9,8287648;25,4;69,9;0
07/01/2019 05:00;9,456017232;25,4;70,7;0
07/01/2019 06:00;8,39662941;25,6;69,9;0
07/01/2019 07:00;9,612963576;25,6;69,3;43
07/01/2019 08:00;11,49631971;27;63,5;131,4
07/01/2019 09:00;12,30066972;26,3;68,6;100,1
07/01/2019 10:00;9,652200162;25,4;76,1;73,4
07/01/2019 11:00;7,474569638;24,7;80,1;125,5
07/01/2019 12:00;19,81447594;27,2;69;459
07/01/2019 13:00;41,37497996;29,5;55,7;366,9
07/01/2019 14:00;34,39086765;29,6;55;437,7
07/01/2019 15:00;33,25300666;29,6;52,7;282,2
07/01/2019 16:00;25,20950652;27,5;64,3;139,2
07/01/2019 17:00;20,26569668;25,9;69,9;99,8
07/01/2019 18:00;21,48203085;26;67;48
07/01/2019 19:00;15,34150514;26,3;65,6;0
07/01/2019 20:00;12,10448679;26,5;64,8;0
07/01/2019 21:00;8,318156238;25,8;69,7;0
07/01/2019 22:00;5,473503751;24,9;74,9;0
07/01/2019 23:00;6,062052541;24,9;74,6;0
07/01/2019 24:00;5,179229355;25,2;72,8;0
08/01/2019 01:00;5,041901304;24,9;72,6;0
08/01/2019 02:00;5,512740337;24,6;71,6;0
08/01/2019 03:00;4,865336667;24,2;73,7;0
08/01/2019 04:00;4,904573253;24,3;72,9;0
08/01/2019 05:00;5,061519597;23,7;74,4;0
08/01/2019 06:00;4,943809839;23,4;74;0
08/01/2019 07:00;5,669686681;23,5;72,4;29,8
08/01/2019 08:00;6,238617178;24,3;69,9;88,1
08/01/2019 09:00;10,90777092;26;63,8;342,1
08/01/2019 10:00;25,13103335;28,4;55,3;504,7
08/01/2019 11:00;47,1623764;30;50,6;744,4
08/01/2019 12:00;63,72021571;31,6;44,4;653,4
08/01/2019 13:00;76,02088543;32,7;40,4;767,1
08/01/2019 14:00;86,14392462;33,6;37,3;818,9
08/01/2019 15:00;73,33317928;31,4;41,5;304,9
08/01/2019 16:00;33,29224324;29;50,5;179,9
08/01/2019 17:00;32,25247371;30,9;42,3;202,1
08/01/2019 18:00;25,52339921;29,8;44,8;72,6
08/01/2019 19:00;14,26249902;28,4;51,3;0
08/01/2019 20:00;13,71318682;27;56,6;0
08/01/2019 21:00;9,436398939;26,5;58,4;0
08/01/2019 22:00;8,749758684;25,9;60,6;0
08/01/2019 23:00;15,00799416;25,8;59,7;0
08/01/2019 24:00;8,847850149;25,8;61;0
09/01/2019 01:00;11,2412819;25,9;62,5;0
09/01/2019 02:00;11,14319043;25,1;67,7;0
09/01/2019 03:00;10,82929774;25,2;67,3;0
09/01/2019 04:00;19,24554545;24,1;71,3;0
09/01/2019 05:00;18,28424909;23,4;76,1;0
09/01/2019 06:00;9,711055042;23,3;78;0
09/01/2019 07:00;6,199380592;23,6;77,4;21,1
09/01/2019 08:00;7,101822071;23,3;79,6;32,8
09/01/2019 09:00;9,57372699;23,8;77,6;109,1
09/01/2019 10:00;12,9088368;24,7;73,7;223,5
09/01/2019 11:00;18,38234055;26,6;66;538,4
09/01/2019 12:00;30,78110174;28,8;54,5;689,2
09/01/2019 13:00;38,13796162;29,5;50,8;522,1
09/01/2019 14:00;39,90360799;28,1;56,5;287,2
09/01/2019 15:00;52,53778869;28;56,8;381,3
09/01/2019 16:00;45,73024101;27,5;57,6;203,3
