"";"Fecha & Hora";"O3";"dia";"hora";"hora_normada"
"1";2019-01-05 01:00:00;"10,31922212";"5";1;0,0208333333333333
"2";2019-01-05 02:00:00;"8,377011117";"5";2;0,0625
"3";2019-01-05 03:00:00;"6,31709035";"5";3;0,104166666666667
"4";2019-01-05 04:00:00;"4,845718374";"5";4;0,145833333333333
"5";2019-01-05 05:00:00;"5,120374476";"5";5;0,1875
"6";2019-01-05 06:00:00;"5,650068388";"5";6;0,229166666666667
"7";2019-01-05 07:00:00;"5,08113789";"5";7;0,270833333333333
"8";2019-01-05 08:00:00;"7,651134275";"5";8;0,3125
"9";2019-01-05 09:00:00;"24,81714066";"5";9;0,354166666666667
"10";2019-01-05 10:00:00;"52,28275088";"5";10;0,395833333333333
"11";2019-01-05 11:00:00;"69,17410116";"5";11;0,4375
"12";2019-01-05 12:00:00;"76,45248787";"5";12;0,479166666666667
"13";2019-01-05 13:00:00;"100,5829883";"5";13;0,520833333333333
"14";2019-01-05 14:00:00;"114,2961751";"5";14;0,5625
"15";2019-01-05 15:00:00;"114,7473958";"5";15;0,604166666666667
"16";2019-01-05 16:00:00;"90,91116982";"5";16;0,645833333333333
"17";2019-01-05 17:00:00;"46,45611786";"5";17;0,6875
"18";2019-01-05 18:00:00;"28,46614316";"5";18;0,729166666666667
"19";2019-01-05 19:00:00;"15,94967222";"5";19;0,770833333333333
"20";2019-01-05 20:00:00;"8,200446479";"5";20;0,8125
"21";2019-01-05 21:00:00;"10,18189407";"5";21;0,854166666666667
"22";2019-01-05 22:00:00;"8,514339168";"5";22;0,895833333333333
"23";2019-01-05 23:00:00;"6,729074504";"5";23;0,9375
"24";2019-01-06 01:00:00;"7,101822071";"6";1;0,0208333333333333
"25";2019-01-06 02:00:00;"6,474036694";"6";2;0,0625
"26";2019-01-06 03:00:00;"8,337774531";"6";3;0,104166666666667
"27";2019-01-06 04:00:00;"11,20204531";"6";4;0,145833333333333
"28";2019-01-06 05:00:00;"8,671285512";"6";5;0,1875
"29";2019-01-06 06:00:00;"6,31709035";"6";6;0,229166666666667
"30";2019-01-06 07:00:00;"5,395030579";"6";7;0,270833333333333
"31";2019-01-06 08:00:00;"6,630983038";"6";8;0,3125
"32";2019-01-06 09:00:00;"7,239150122";"6";9;0,354166666666667
"33";2019-01-06 10:00:00;"15,30226855";"6";10;0,395833333333333
"34";2019-01-06 11:00:00;"36,68620793";"6";11;0,4375
"35";2019-01-06 12:00:00;"72,60730244";"6";12;0,479166666666667
"36";2019-01-06 13:00:00;"80,35652818";"6";13;0,520833333333333
"37";2019-01-06 14:00:00;"76,02088543";"6";14;0,5625
"38";2019-01-06 15:00:00;"64,0144901";"6";15;0,604166666666667
"39";2019-01-06 16:00:00;"52,67511674";"6";16;0,645833333333333
"40";2019-01-06 17:00:00;"41,74772753";"6";17;0,6875
"41";2019-01-06 18:00:00;"29,74133221";"6";18;0,729166666666667
"42";2019-01-06 19:00:00;"13,53662218";"6";19;0,770833333333333
"43";2019-01-06 20:00:00;"10,08380261";"6";20;0,8125
"44";2019-01-06 21:00:00;"14,30173561";"6";21;0,854166666666667
"45";2019-01-06 22:00:00;"18,02921128";"6";22;0,895833333333333
"46";2019-01-06 23:00:00;"20,55997108";"6";23;0,9375
"47";2019-01-07 01:00:00;"10,80967945";"7";1;0,0208333333333333
"48";2019-01-07 02:00:00;"14,65486488";"7";2;0,0625
"49";2019-01-07 03:00:00;"11,84944898";"7";3;0,104166666666667
"50";2019-01-07 04:00:00;"9,8287648";"7";4;0,145833333333333
"51";2019-01-07 05:00:00;"9,456017232";"7";5;0,1875
"52";2019-01-07 06:00:00;"8,39662941";"7";6;0,229166666666667
"53";2019-01-07 07:00:00;"9,612963576";"7";7;0,270833333333333
"54";2019-01-07 08:00:00;"11,49631971";"7";8;0,3125
"55";2019-01-07 09:00:00;"12,30066972";"7";9;0,354166666666667
"56";2019-01-07 10:00:00;"9,652200162";"7";10;0,395833333333333
"57";2019-01-07 11:00:00;"7,474569638";"7";11;0,4375
"58";2019-01-07 12:00:00;"19,81447594";"7";12;0,479166666666667
"59";2019-01-07 13:00:00;"41,37497996";"7";13;0,520833333333333
"60";2019-01-07 14:00:00;"34,39086765";"7";14;0,5625
"61";2019-01-07 15:00:00;"33,25300666";"7";15;0,604166666666667
"62";2019-01-07 16:00:00;"25,20950652";"7";16;0,645833333333333
"63";2019-01-07 17:00:00;"20,26569668";"7";17;0,6875
"64";2019-01-07 18:00:00;"21,48203085";"7";18;0,729166666666667
"65";2019-01-07 19:00:00;"15,34150514";"7";19;0,770833333333333
"66";2019-01-07 20:00:00;"12,10448679";"7";20;0,8125
"67";2019-01-07 21:00:00;"8,318156238";"7";21;0,854166666666667
"68";2019-01-07 22:00:00;"5,473503751";"7";22;0,895833333333333
"69";2019-01-07 23:00:00;"6,062052541";"7";23;0,9375
"70";2019-01-08 01:00:00;"5,041901304";"8";1;0,0208333333333333
"71";2019-01-08 02:00:00;"5,512740337";"8";2;0,0625
"72";2019-01-08 03:00:00;"4,865336667";"8";3;0,104166666666667
"73";2019-01-08 04:00:00;"4,904573253";"8";4;0,145833333333333
"74";2019-01-08 05:00:00;"5,061519597";"8";5;0,1875
"75";2019-01-08 06:00:00;"4,943809839";"8";6;0,229166666666667
"76";2019-01-08 07:00:00;"5,669686681";"8";7;0,270833333333333
"77";2019-01-08 08:00:00;"6,238617178";"8";8;0,3125
"78";2019-01-08 09:00:00;"10,90777092";"8";9;0,354166666666667
"79";2019-01-08 10:00:00;"25,13103335";"8";10;0,395833333333333
"80";2019-01-08 11:00:00;"47,1623764";"8";11;0,4375
"81";2019-01-08 12:00:00;"63,72021571";"8";12;0,479166666666667
"82";2019-01-08 13:00:00;"76,02088543";"8";13;0,520833333333333
"83";2019-01-08 14:00:00;"86,14392462";"8";14;0,5625
"84";2019-01-08 15:00:00;"73,33317928";"8";15;0,604166666666667
"85";2019-01-08 16:00:00;"33,29224324";"8";16;0,645833333333333
"86";2019-01-08 17:00:00;"32,25247371";"8";17;0,6875
"87";2019-01-08 18:00:00;"25,52339921";"8";18;0,729166666666667
"88";2019-01-08 19:00:00;"14,26249902";"8";19;0,770833333333333
"89";2019-01-08 20:00:00;"13,71318682";"8";20;0,8125
"90";2019-01-08 21:00:00;"9,436398939";"8";21;0,854166666666667
"91";2019-01-08 22:00:00;"8,749758684";"8";22;0,895833333333333
"92";2019-01-08 23:00:00;"15,00799416";"8";23;0,9375
"93";2019-01-09 01:00:00;"11,2412819";"9";1;0,0208333333333333
"94";2019-01-09 02:00:00;"11,14319043";"9";2;0,0625
"95";2019-01-09 03:00:00;"10,82929774";"9";3;0,104166666666667
"96";2019-01-09 04:00:00;"19,24554545";"9";4;0,145833333333333
"97";2019-01-09 05:00:00;"18,28424909";"9";5;0,1875
"98";2019-01-09 06:00:00;"9,711055042";"9";6;0,229166666666667
"99";2019-01-09 07:00:00;"6,199380592";"9";7;0,270833333333333
"100";2019-01-09 08:00:00;"7,101822071";"9";8;0,3125
"101";2019-01-09 09:00:00;"9,57372699";"9";9;0,354166666666667
"102";2019-01-09 10:00:00;"12,9088368";"9";10;0,395833333333333
"103";2019-01-09 11:00:00;"18,38234055";"9";11;0,4375
"104";2019-01-09 12:00:00;"30,78110174";"9";12;0,479166666666667
"105";2019-01-09 13:00:00;"38,13796162";"9";13;0,520833333333333
"106";2019-01-09 14:00:00;"39,90360799";"9";14;0,5625
"107";2019-01-09 15:00:00;"52,53778869";"9";15;0,604166666666667
"108";2019-01-09 16:00:00;"45,73024101";"9";16;0,645833333333333
"109";2019-01-09 17:00:00;"25,48416262";"9";17;0,6875
"110";2019-01-09 18:00:00;"15,7142527";"9";18;0,729166666666667
"111";2019-01-09 19:00:00;"12,71265387";"9";19;0,770833333333333
"112";2019-01-09 20:00:00;"8,082736721";"9";20;0,8125
"113";2019-01-09 21:00:00;"7,670752568";"9";21;0,854166666666667
"114";2019-01-09 22:00:00;"7,533424517";"9";22;0,895833333333333
"115";2019-01-09 23:00:00;"7,298005001";"9";23;0,9375
"116";2019-02-05 01:00:00;"5,296939114";"5";24;0,979166666666667
"117";2019-02-05 02:00:00;"5,787396439";"5";25;1,02083333333333
"118";2019-02-05 03:00:00;"5,022283011";"5";26;1,0625
"119";2019-02-05 04:00:00;"5,669686681";"5";27;1,10416666666667
"120";2019-02-05 05:00:00;"5,865869611";"5";28;1,14583333333333
"121";2019-02-05 06:00:00;"6,022815955";"5";29;1,1875
"122";2019-02-05 07:00:00;"5,767778146";"5";30;1,22916666666667
"123";2019-02-05 08:00:00;"5,865869611";"5";31;1,27083333333333
"124";2019-02-05 09:00:00;"8,023881842";"5";32;1,3125
"125";2019-02-05 10:00:00;"16,53822101";"5";33;1,35416666666667
"126";2019-02-05 11:00:00;"38,80498358";"5";34;1,39583333333333
"127";2019-02-05 12:00:00;"69,23295604";"5";35;1,4375
"128";2019-02-05 13:00:00;"71,97951707";"5";36;1,47916666666667
"129";2019-02-05 14:00:00;"67,6831109";"5";37;1,52083333333333
"130";2019-02-05 15:00:00;"71,84218901";"5";38;1,5625
"131";2019-02-05 16:00:00;"101,1715371";"5";39;1,60416666666667
"132";2019-02-05 17:00:00;"119,3184581";"5";40;1,64583333333333
"133";2019-02-05 18:00:00;"79,98378061";"5";41;1,6875
"134";2019-02-05 19:00:00;"34,21430301";"5";42;1,72916666666667
"135";2019-02-05 20:00:00;"19,3632552";"5";43;1,77083333333333
"136";2019-02-05 21:00:00;"9,259834302";"5";44;1,8125
"137";2019-02-05 22:00:00;"6,70945621";"5";45;1,85416666666667
"138";2019-02-05 23:00:00;"6,51327328";"5";46;1,89583333333333
"139";2019-02-06 01:00:00;"6,022815955";"6";24;0,979166666666667
